T (K)	rhol (kg/m3)	Avg urho (kg/m3)
64.0	863.7230000000001	1.0609916905418795
65.0	859.605	1.0559331662445626
66.0	855.454	1.050834104962833
68.0	847.062	1.0405254269873392
70.0	838.544	1.0300619714349968
72.0	829.9	1.0194437383058061
75.0	816.681	1.0032056050648561
77.602	802.418	0.9856850290443046
78.0	803.154	0.9865891266360542
78.845	799.7	0.9823462556008594
78.882	796.803	0.978787599726812
79.933	794.74	0.9762534240042853
80.008	794.949	0.976510158238899
81.0	789.275	0.9695402537068504
81.083	786.446	0.9660651285885625
81.277	788.52	0.9686128166392267
81.973	785.34	0.9647065254140039
82.475	780.117	0.9582906263355953
83.0	779.811	0.9579147379346777
83.854	776.02	0.9532578983010864
84.512	770.123	0.9460140620258856
85.87799999999999	766.27	0.9412810619973371
86.0	765.247	0.9400244154805436
86.0	765.248	0.9400256438740108
86.419	760.7330000000001	0.9344794473702746
87.928	756.16	0.9288620040454493
89.137	747.319	0.9180017774032494
89.84100000000001	746.07	0.9164675139629026
90.0	745.056	0.9152219229873126
90.0	745.057	0.9152231513807796
90.008	746.443	0.9169257047261126
91.01799999999999	737.327	0.9057276698804737
91.01799999999999	739.702	0.9086451043647203
91.01899999999999	737.812	0.9063234407119936
91.12799999999999	737.1519999999999	0.9055127010237396
91.881	735.62	0.9036308022322173
92.337	730.482	0.897319316598508
93.0	729.2280000000001	0.895778911190826
93.0	729.23	0.89578136797776
93.84700000000001	724.82	0.8903641527880641
93.98899999999999	721.8989999999999	0.8867760154708073
95.396	713.7869999999999	0.876811287666088
95.792	714.22	0.8773431820373212
96.0	712.707	0.8754846227216727
96.0	712.7080000000001	0.8754858511151399
97.193	704.046	0.8648455069035421
97.811	702.57	0.8630323981461746
98.0	701.247	0.8614072335892656
98.03	701.4	0.8615951777897245
99.762	690.89	0.8486847624510162
100.009	688.305	0.8455093653386888
100.009	689.5239999999999	0.8470067769750241
100.744	683.252	0.839302293149679
100.99	683.4	0.8394840953828027
101.0	683.2669999999999	0.8393207190516847
101.76299999999999	678.76	0.8337843496956849
103.0	670.675	0.8238527885145759
103.366	666.587	0.8188311160212705
103.696	666.14	0.8182820241414986
104.751	657.837	0.8080826731845724
104.8	658.0	0.8082829013197017
104.95	658.0	0.8082829013197017
105.0	657.512	0.8076834453077806
105.79700000000001	652.2	0.8011582192108047
107.689	639.18	0.7851645362697977
107.99	636.5	0.7818724417781004
108.0	636.488	0.781857701056496
108.01100000000001	636.711	0.7821316327996484
109.991	619.559	0.7610622280527858
110.0	621.437	0.763369150983908
110.0	621.437	0.763369150983908
110.01100000000001	620.878	0.7626824790358264
110.021	619.381	0.7608435740156506
112.0	605.354	0.7436128988533233
112.05	604.1	0.7420724934456411
114.0	587.982	0.7222732475437095
114.79	578.2	0.7102571026490145
114.99	578.1	0.7101342633023093
115.0	578.714	0.7108884968910789
115.00200000000001	577.12	0.7089304377045992
115.012	577.049	0.7088432217684385
116.0	568.9730000000001	0.698922716128533
117.0	558.689	0.6862899177133781
117.12	556.3	0.6833552857205927
118.0	547.757	0.6728611203315742
119.0	536.0509999999999	0.6584815464062725
120.0	523.387	0.642925171539536
120.43	515.6	0.6333596716116082
121.0	509.49800000000005	0.6258640146756618
122.0	493.973	0.6067932060996916
122.5	485.402	0.5962646456935955
123.0	476.11800000000005	0.584860240745492
123.0	476.131	0.5848762098605637
123.5	465.97	0.5723945038418563
124.0	454.634	0.5584694354993637
124.4	444.409	0.5459091122987649
124.7	435.80199999999996	0.535336329727855
125.0	426.10400000000004	0.5234233698843924
125.25	416.926	0.5121491746437963
125.25	417.144	0.5124169644196135
125.25	417.589	0.5129635995124512
125.25	418.085	0.5135728826721087
125.5	406.037	0.4987731981810755
125.5	406.522	0.49936896901259537
125.5	406.80800000000005	0.4997202895441721
125.5	407.168	0.5001625111923105
125.7	395.44800000000004	0.48576573975847026
125.7	395.89099999999996	0.48630991806437385
125.7	396.341	0.48686269512454694
125.7	396.63599999999997	0.487225071197327
125.7	396.89	0.48753708313795807
125.85	385.64	0.47371765663363186
125.85	386.24199999999996	0.47445714950079665
125.85	386.67699999999996	0.47499150065896395
125.85	387.06699999999995	0.4754705741111139
125.85	387.499	0.4760012400888801
125.85	387.88199999999995	0.47647171478676065
125.85	388.099	0.4767382761691108
125.85	388.241	0.47691270804143204
125.85	388.381	0.47708468312681923
125.95	377.522	0.46374555846811005
125.95	378.285	0.46468282268347016
125.95	378.81800000000004	0.4653375564014085
125.95	379.41	0.4660647653339028
125.95	379.89	0.46665439419808735
125.95	380.392	0.46727104771854705
125.95	380.86199999999997	0.4678483926480611
126.20700000000001	314.0	0.3857155486540826
126.20700000000001	313.1	0.3846099945337365
