T (K)	rhol (kg/m3)	urho (kg/m3)
90.69	651.952	1.63
91	650.826	0.209
91.018	650.697	0.422
91.018	650.685	
93.158	648.55	
93.158	648.54	0.4
95	646.452	
95	646.448	0.208
98.159	643.137	
98.159	643.14	0.4
100	640.968	0.206
100.009	641.724	
100.009	641.227	
100.009	641.718	0.643
100.029	640.878	0.41
100.029	640.882	
102.009	639.091	
102.588	638.386	
102.588	638.4	0.34
103.16	637.755	
103.16	637.74	0.4
103.72	637.06	0.34
104.01	636.936	
105.01	636.251	
105.01	636.236	0.637
105.382	634.656	1.42
105.382	634.627	
106.175	634.25	0.35
108.011	632.712	
108.121	632.214	0.399
108.121	632.222	
108.161	632.27	0.77
108.161	632.282	
108.161	632.312	
108.161	632.3	0.4
108.943	631.22	0.35
110	629.993	0.203
110.011	630.718	
110.011	630.573	
110.011	630.706	0.631
110.939	628.948	1.4
110.939	628.914	
111.502	628.373	
111.502	628.39	0.35
112.011	628.347	
113.162	626.839	
113.162	626.84	0.4
114.012	626.412	
114.233	625.32	0.35
114.72	625.3	1.26
114.81	624.96	1.26
115.012	625.246	
115.012	625.236	0.625
115.062	624.598	0.389
115.062	624.614	
115.782	623.85	
115.782	623.862	
116.012	623.964	
116.495	622.954	1.37
116.495	622.96	
117.015	622.48	0.36
118.013	621.865	
118.163	621.306	
118.163	621.29	0.4
119.636	619.43	0.36
120	618.964	
120	618.962	0.199
120.013	619.502	
120.013	619.522	
120.013	619.508	0.619
121.5	617.57	1.25
122.013	617.537	
122.052	617.074	1.34
122.16	617	1.25
122.309	616.375	
122.309	616.38	0.36
123.163	615.713	
123.163	615.72	0.4
124.013	615.321	
125.01	613.44	0.36
125.013	613.999	
125.013	613.987	0.613
126.014	613.004	
127.608	611.055	1.32
127.608	611.113	
127.693	610.51	0.37
128.014	610.459	
128.164	610.15	
128.164	610.14	0.4
130	607.846	0.196
130.014	608.376	
130.014	608.711	
130.014	608.367	0.61
130.332	607.59	0.37
132.014	606.448	
132.17	605.8	1.23
132.2	605.51	1.22
132.21	605.63	1.23
132.36	605.56	1.22
132.781	604.828	
132.782	604.85	0.37
133.164	605.152	1.29
133.164	604.557	
133.164	605.189	
133.164	604.56	0.4
135.014	602.783	
135.014	602.786	0.604
136.014	601.568	
138.164	599.024	
138.164	599.03	0.4
138.369	598.34	0.38
140	596.599	0.193
140.014	597.1	
140.014	597.412	
140.014	597.088	0.598
140.662	595.78	0.38
142.014	595.022	
142.46	594.19	1.2
142.5	593.92	1.2
142.52	594.19	1.2
143.164	593.522	
143.164	593.52	0.4
143.732	592.31	0.38
144.014	592.494	
146.468	589.101	
146.468	589.12	0.39
148.014	588.333	
148.164	587.778	
148.164	587.77	0.4
149.063	586.22	0.39
150	585.198	
150	585.189	0.189
150.014	585.613	
150.014	585.616	0.586
151.11	584.34	1.18
151.18	584.14	1.18
151.929	582.94	0.39
152.014	583.326	
153.164	581.975	
153.164	581.97	0.4
154.678	579.78	0.4
156.014	578.893	
156.889	578.126	
157.504	576.68	0.4
158.164	576.081	
158.164	576.09	0.4
160	573.575	0.186
160.014	573.916	
160.014	573.748	
160.014	573.907	0.574
160.114	573.405	
160.114	573.4	0.4
161.374	572.15	
161.374	572.142	
161.4	572.239	0.719
162.875	570.06	0.4
163.164	570.247	
163.164	570.24	0.4
164.014	569.928	
164.827	567.7	
164.827	567.7	1.2
165.013	567.3	3.4
165.663	566.71	0.41
167.23	565.1	
167.23	565.1	1.2
167.379	566.008	
168.013	564.623	
168.163	564.264	
168.163	564.26	0.4
168.652	563.23	0.41
169.131	563	
169.131	563	1.2
170	561.704	0.183
170.013	561.918	
170.013	561.909	0.562
171.351	559.933	
171.351	559.92	0.41
171.383	563.3	10.1
171.934	559.9	
171.934	559.9	1.2
172.013	559.91	
172.584	562.5	10.1
173.163	558.25	
173.163	558.25	0.4
174.127	556.58	0.41
174.636	557.2	
174.636	557.2	1.2
175	555.657	0.181
175.586	559.5	10.1
175.612	555.3	3.3
176.012	555.089	
176.437	555.1	
176.437	555.1	1.2
176.524	554.671	
176.882	553.24	0.42
178.038	553.775	5.1
178.138	552.7	
178.138	552.7	1.2
178.388	555.5	10.1
179.239	551.6	
179.239	551.6	1.2
179.616	549.78	0.42
180	549.534	
180.012	549.65	
180.012	549.873	
180.012	549.659	0.55
180.012	548	3.3
180.589	552.8	10.1
182.09	551.6	10.1
182.427	546.222	
182.428	546.22	0.42
184.012	545.578	
184.712	542.2	3.3
185	543.301	0.178
185.042	546.727	9.94
185.169	543.05	0.42
187.963	539.35	0.43
188.012	540.135	
188.463	539.486	
188.512	537.5	3.2
190.012	537.08	
190.012	537.086	0.538
190.735	535.817	
190.736	535.82	0.43
192.012	534.854	
194.579	530.8	0.43
195	530.542	0.174
195.711	528.4	3.2
196.011	529.557	
197.899	527.097	
197.911	526.2	3.2
199.023	524.91	0.44
200	523.982	0.173
200.011	524.09	
200.011	524.291	
200.011	524.087	0.526
201.411	521.5	3.1
203.202	519.459	
203.203	519.47	0.44
204.011	519.425	
205.41	516.7	3.1
207.439	513.49	0.45
208.01	513.292	
210	510.461	
210	510.45	0.17
210.01	510.318	
210.01	510.327	0.511
212.01	508.582	
212.631	506.259	
212.632	506.27	0.45
214.952	503.793	
216.009	502.738	
218.535	497.97	0.46
220	496.268	0.166
220.009	496.125	
220.009	496.791	
220.009	496.119	0.499
222.946	491.64	0.46
224.009	491.282	
225.413	487.942	
225.706	487.735	
225.706	487.73	0.47
228.008	484.934	
228.369	483.27	0.47
229.925	482.233	
230	481.285	0.163
230.008	481.03	
230.008	481.039	0.484
230.339	480.39	
232.008	478.687	
232.115	478.233	
232.116	478.23	0.47
236.007	472.679	
240	465.638	
240	465.317	
240	465.304	0.161
240	465.526	
240.007	465.002	
240.007	465.861	
240.007	465.008	0.469
240.037	464.922	
240.707	464.732	
244.006	459.578	
244.924	456.739	0.106
247.967	452.553	
248.005	452.075	
248.055	452.764	0.241
249.929	447.948	0.104
250	448.039	0.159
250.005	447.742	
250.005	447.739	0.454
250.005	449.5	1.5
252.005	444.832	
253.055	443.623	0.241
253.154	443.623	
254.686	439.152	
255.967	437.639	
256.004	437.848	
259.62	429.637	0.101
260	429.352	
260	429.134	
260	429.072	0.157
260.003	428.828	
260.003	429.836	
260.003	428.828	0.436
263.053	423.656	0.241
263.152	423.656	
264.002	421.49	
265	418.752	0.159
265.058	418.392	
267.485	413.3	0.8
267.485	413.3	0.8
268.001	412.992	
270	407.719	0.16
270.001	407.418	
270.001	407.427	0.418
272	404.12	
273.08	400.183	
273.15	401.194	
273.151	401.194	0.21
275	397	1.25
275	395.798	0.163
276	394.129	
277.594	389.8	0.8
277.594	389.8	0.8
279.999	383.261	
280	382.865	
280	382.844	
280	382.735	0.169
283.103	374.612	0.241
283.148	373.109	
283.148	374.612	
283.153	374.704	0.187
283.198	373.9	9
283.198	373.56	1.5
283.198	373.56	
283.198	373.89	
283.203	373.55	0.08
283.29	373.52	
283.998	372.489	
285	368.138	0.178
287.997	359.584	
288.187	358.1	9.8
288.187	357.683	
288.187	358.104	
288.196	357.68	0.08
288.197	357.683	1.5
288.702	356.2	0.7
288.702	356.4	0.7
290	351.867	
290	351.331	0.196
291.996	344.266	
292.354	344.3	0.9
293.145	339.701	
293.164	339.701	0.241
293.164	339.851	0.154
293.175	339.5	11.1
293.175	338.889	
293.175	339.49	
293.193	338.9	0.09
293.195	338.889	1.65
293.32	338.857	
294.256	335.4	1.3
294.256	335.9	1.4
294.997	333.1	0.8
295	330.971	0.22
295.665	328.5	13.5
295.665	327.733	
295.665	328.515	
295.689	327.73	0.12
295.695	327.733	1.71
295.995	328.431	
296.331	326.6	0.8
297.311	320.5	0.8
298	317.33	
298	315.81	0.262
298.144	315.705	
298.164	315.8	16.1
298.164	314.893	
298.164	315.795	
298.178	315.705	0.301
298.194	314.893	1.8
298.197	314.89	0.2
298.345	314.9	0.7
299.249	308.8	0.7
299.811	306.3	0.7
299.811	306.6	0.7
300	303.516	0.303
300.654	300.1	17.9
300.654	298.805	
300.654	300.098	
300.694	298.806	1.95
300.698	298.8	0.3
300.825	298.2	0.7
301	296.313	0.36
302	290.371	
302	288.027	0.42
302.144	286.5	0.7
302.153	288	20
302.193	286.687	2.1
302.199	286.988	0.361
302.207	286.68	0.35
302.49	283.1	0.7
302.56	281.028	
303	278.046	0.458
303.023	277.3	0.7
303.028	278.787	3.88
303.193	276.343	2.2
303.206	276.945	0.571
303.206	277.22	0.128
303.206	278.22	0.129
303.213	276.34	0.4
303.227	275	0.7
303.5	271.7	0.8
303.623	270	0.7
303.809	268	0.9
303.926	267.432	3.88
304.124	262.3	0.9
304.193	262.571	2.29
304.211	262.56	0.45
304.215	262.722	0.932
304.215	262.896	0.138
304.215	264.421	0.14
304.261	260.1	0.9
304.391	260.6	
304.438	256.9	1.1
304.618	255.241	3.88
304.693	252.498	2.35
304.715	252.5	0.5
304.73	250	1.2
304.833	247.3	1.2
304.888	246	1.6
304.973	242.7	1.8
304.996	242.2	1.7
305.064	239.3	2.1
305.078	242.129	3.88
305.082	238.8	2.1
305.094	237.9	2.1
305.106	241.4	
305.128	236.772	
305.139	235.6	2.4
305.141	240.4	
305.173	234	2.7
305.192	235.358	2.56
305.22	235.37	0.6
305.224	235.448	6.53
305.224	235.862	0.111
305.317	229.227	3.88
305.325	228.532	6.53
305.328	223.902	
305.391	218.215	3.8
305.403	210.442	3.87
305.406	203	6
305.406	202	2
305.406	203	5
305.406	203.451	5.51
305.406	203	6
305.406	203	5
305.406	205.1	3
305.406	206.2	3
305.406	203.864	0.691
305.406	204.28	0.694
305.406	205.6	
305.406	206.6	2.1
305.406	206.2	3
305.406	205.5	4
305.406	205.8	4
305.406	204.46	4
305.406	200.9	8
305.406	207	3
