T (K)	rhol (kg/m3)	Avg urho (kg/m3)
273.15	3191.0	45.392368183069465
278.147	3174.0	45.15054108839313
282.245	3157.08	44.909852003574095
283.144	3156.0	44.894488870500545
288.14099999999996	3140.0	44.66688689904046
293.138	3122.0	44.410834681147875
298.13599999999997	3106.0	44.18323270968779
303.134	3088.0	43.927180491795205
303.698	3074.0	43.728028766767636
308.132	3070.0	43.67112827390262
313.13	3053.0	43.429301179226286
313.871	3069.0	43.65690315068636
316.01599999999996	3047.0	43.343950439928754
318.129	3036.0	43.187474084549955
319.027	3025.0	43.03099772917115
322.48	3011.0	42.83184600414358
323.127	3019.0	42.945646989873616
331.76099999999997	2978.0	42.362416938007165
336.73699999999997	2973.0	42.29129132192589
347.98900000000003	2963.0	42.14904008976334
353.165	2941.0	41.83608737900573
362.61400000000003	2856.0	40.62695190562407
376.235	2830.0	40.257098702001436
390.89599999999996	2760.0	39.26134007686359
411.851	2703.0	38.450508053537064
431.481	2619.0	37.25559770337165
452.45	2576.0	36.643917405072685
470.36199999999997	2505.0	35.63393365671859
490.856	2414.0	34.339447444039386
510.006	2275.0	32.36215531697995
530.29	2195.0	31.22414545967956
550.889	2019.0	28.720523773618694
560.471	1936.0	27.539838546669536
569.859	1868.0	26.5725301679642
574.9780000000001	1769.0	25.164242969554962
578.637	1682.0	23.926657249740785
584.185	1260.0	17.923655252481204
