T (K)	P (kPa)	Avg uP (kPa)
266.156	6.0928	0.6068811401052776
266.256	6.17949	0.615516008480364
266.765	6.272819999999999	0.624812262551731
267.415	6.5461	0.6520326666299825
268.05400000000003	6.8794	0.6852314396074459
268.11400000000003	6.7861	0.6759381737244656
268.36400000000003	6.7994	0.6772629372426182
268.464	6.8661	0.6839066760892933
268.803	7.0528	0.7025031684832099
269.283	7.1727	0.7144459614024954
269.443	7.3461	0.7317176902782595
269.733	7.3461	0.7317176902782595
270.522	7.7194	0.7689007144381368
270.752	7.706	0.7675659902920281
271.132	7.8660000000000005	0.7835029950216835
271.351	7.8527	0.7821782315035308
272.091	8.2927	0.8260049945100832
272.301	8.426	0.8392825115754774
273.34	9.0393	0.9003710428298378
273.46	8.69928	0.8665029156537287
273.46	8.666	0.8631880186699605
274.369	9.3059	0.926926076960626
275.17900000000003	9.85919	0.98203723537857
275.928	10.0992	1.0059437385358487
275.988	10.1992	1.0159043664918832
276.508	10.5591	1.051752666505652
276.578	10.7124	1.067022309162253
277.098	10.9991	1.0955794295122043
277.407	10.8524	1.0809671883007015
277.897	11.4124	1.1367467048544952
278.427	11.739	1.1692781157589045
278.597	11.7057	1.165961226649545
279.526	12.2257	1.217756492020925
279.726	12.039000000000001	1.1991599996270084
280.286	12.7723	1.2722012844286101
280.695	13.0189	1.2967641929681917
282.504	14.3855	1.4328861346153607
283.024	14.5055	1.4448388881626022
283.54400000000004	14.9054	1.4846714393587848
283.584	15.0588	1.4999510426433418
283.664	15.1121	1.5052600573439083
285.283	16.452	1.6387225113268165
285.343	16.2387	1.6174764918965945
285.453	16.9653	1.6898504146251419
285.772	16.732	1.6666122696037131
286.60200000000003	17.1053	1.7037952937635905
287.441	17.8185	1.7748344923460293
288.221	18.7451	1.8671296709866463
288.731	19.1584	1.9082969463289372
289.12	19.6517	1.9574327240360563
292.438	22.8448	2.2754855353001977
293.058	23.3914	2.329930327707883
294.098	24.1647	2.4069558636918984
294.248	25.1446	2.504560057033082
295.337	25.2979	2.5198296996896827
296.737	26.8778	2.677197660767074
298.856	29.3642	2.924858714265919
299.575	30.7041	3.0583211682488267
300.175	31.1841	3.106132182437793
300.825	32.424	3.229634008464666
301.365	34.0239	3.3889940951332638
301.685	33.4639	3.3332145785794705
301.934	33.4039	3.3272382018058497
302.314	34.4772	3.4341456216579695
303.384	36.7436	3.6598932936535378
304.893	37.9835	3.783395119680411
305.313	38.3702	3.8219128679863967
305.83299999999997	39.1168	3.8962789163061515
306.093	40.6767	4.051654751792335
306.77299999999997	40.7833	4.062272781193468
307.532	42.0032	4.183782481629135
307.812	42.7965	4.262800143204358
307.91200000000003	42.7298	4.256156404357682
308.732	44.5297	4.43543774693835
308.812	45.4496	4.527065563505912
310.111	46.6962	4.651234751605839
310.351	46.7828	4.659860655415766
310.57099999999997	47.5961	4.740870442582195
311.131	48.6493	4.845775776215151
311.621	50.5292	5.033025621160647
311.70099999999996	50.6358	5.04364365056178
311.741	50.0959	4.989866220227149
313.35	53.129	5.291982026761635
313.71	53.4756	5.326505563257251
314.6	56.181999999999995	5.596079998259372
314.97900000000004	55.8087	5.558896974099495
316.66900000000004	59.9017	5.966585476339992
317.369	61.9949	6.175081340715709
317.72900000000004	63.2348	6.298583166742582
317.779	63.3681	6.311860683807976
318.628	63.7548	6.3503784321139625
319.768	67.5411	6.727517688413301
319.988	68.1677	6.789930983185814
320.778	69.0877	6.881568760381333
321.827	72.0607	7.177698229514242
322.347	74.4339	7.414083852166855
323.327	75.6338	7.533601427011314
326.786	86.2862	8.594647359399946
327.226	84.8064	8.447249986906547
329.125	91.8591	9.1497431947618
329.125	93.619	9.325040286160053
330.775	99.9651	9.957151696877968
331.125	101.191	10.079259034990995
331.624	100.57799999999999	10.018200385620503
332.594	102.01799999999999	10.1616334281874
337.30400000000003	122.76299999999999	12.227965697666784
339.624	130.936	13.042047820513496
340.944	137.455	13.691381156967394
342.164	143.455	14.28901883432947
343.98400000000004	150.388	14.97958917052135
347.264	167.18599999999998	16.652775454576044
349.223	176.65200000000002	17.595648496894285
350.56300000000005	183.985	18.326061344910304
352.14300000000003	191.718	19.096316704750457
353.343	198.25	19.74694492283864
354.32300000000004	203.983	20.317987723558105
355.13300000000004	210.38299999999998	20.95546791274432
355.843	213.84900000000002	21.300703277700485
357.18300000000005	222.515	22.16389129637044
357.903	226.78099999999998	22.58881168497488
358.603	231.31400000000002	23.04032695022193
359.723	237.18	23.62461738612292
361.283	248.646	24.76670298756185
362.483	255.312	25.43067844711112
