T (K)	rhol (kg/m3)	Avg urho (kg/m3)
104.0	654.5930000000001	1.1653445299954108
104.0	654.5930000000001	1.1653445299954108
105.0	653.327	1.1630907231643353
105.0	653.3290000000001	1.1630942836806561
105.01	653.905	1.1641197123810507
105.17	653.178	1.1628254646984346
105.18	653.391	1.1632046596866013
107.0	650.7919999999999	1.158577768727703
107.0	650.793	1.1585795489858635
107.49	650.347	1.157785553846322
107.51	650.452	1.1579724809531646
110.0	646.977	1.1517860838457497
110.0	646.977	1.1517860838457497
110.01100000000001	647.455	1.1526370472464245
112.15100000000001	644.342	1.1470951035930768
112.171	644.505	1.1473852856732232
115.0	640.591	1.1404173552333896
115.0	640.592	1.14041913549155
116.84200000000001	638.2869999999999	1.1363156404318113
116.86200000000001	638.505	1.1367037367107802
120.0	634.1669999999999	1.1289809768109338
120.0	634.169	1.1289845373272547
121.54299999999999	632.246	1.1255611008847917
121.553	632.4590000000001	1.1259402958729585
125.0	627.702	1.1174716078039015
125.0	627.7040000000001	1.1174751683202224
126.25399999999999	626.094	1.114608952681967
126.274	626.247	1.114881332180509
130.0	621.191	1.1058803469214906
131.454	619.335	1.102576187775775
131.474	619.43	1.1027453123010134
135.0	614.631	1.0942018533892195
135.014	615.185	1.095188116410085
136.214	613.269	1.0917771417747448
140.0	608.015	1.0824236653999655
140.014	608.486	1.0832621669935174
140.014	608.519	1.0833209155128107
140.974	606.94	1.080509887877528
143.25799999999998	604.47	1.0761126502213223
143.25799999999998	604.49	1.0761482553845303
143.25799999999998	604.49	1.0761482553845303
145.0	601.3380000000001	1.070536881662927
145.744	600.548	1.0691304777162052
150.0	594.594	1.058530820629141
150.0	594.596	1.0585343811454617
150.014	595.025	1.0592981118962765
150.524	594.012	1.0574947103797838
155.0	587.776	1.0463930204914849
155.314	587.408	1.0457378854884551
158.482	583.78	1.0392791088824977
158.482	583.8	1.039314714045706
158.482	583.8	1.039314714045706
160.0	580.87	1.034098557635713
160.014	581.251	1.0347768359948282
160.124	580.744	1.0338742451075018
161.394	578.731	1.030290585430602
164.94400000000002	573.96	1.0217969737472996
165.0	573.873	1.021642091287344
165.47799999999998	569.6	1.0140350481679241
167.28	567.4	1.0101184802150283
167.78	571.0	1.016527409592494
168.18	566.9	1.0092283511348248
169.783	567.068	1.0095274345057732
170.0	566.773	1.0090022583484533
170.013	566.997	1.0094010361763843
170.013	567.0840000000001	1.0095559186363399
170.172	567.38	1.0100828750518203
170.172	567.4	1.0101184802150283
170.172	567.4	1.0101184802150283
170.18200000000002	565.7	1.0070920413423363
172.0	563.901	1.0038893569117637
173.785	563.1	1.0024633701252776
174.543	560.105	0.9971314969348581
174.623	560.005	0.9969534711188174
176.0	558.091	0.993546056999798
180.0	552.2040000000001	0.9830656772094811
180.0	552.205	0.9830674574676416
180.012	552.495	0.9835837323341595
185.0	544.716	0.9697351041043522
190.0	537.072	0.9561268107261998
190.012	537.374	0.9566644486906427
195.0	529.251	0.9422034116536552
200.0	521.235	0.9279328622398314
200.011	521.484	0.9283761465217728
205.0	513.0	0.9132724362888783
209.78599999999997	505.86	0.9005613930235712
209.78599999999997	505.88	0.9005969981867793
209.78599999999997	505.88	0.9005969981867793
210.0	504.51800000000003	0.8981722865723047
210.0	504.519	0.8981740668304651
210.01	504.731	0.8985514815604715
215.0	495.76	0.8825807856034587
220.0	486.68300000000005	0.8664213822814429
220.00900000000001	486.858	0.8667329274595141
225.0	477.24699999999996	0.8496228662798407
225.037	478.2	0.8513194523067088
225.037	478.22	0.851355057469917
225.037	478.22	0.851355057469917
230.0	467.392	0.8320784221090282
230.00799999999998	467.523	0.8323116359280415
235.0	457.04900000000004	0.8136652119559368
236.05	456.08	0.8119401417985022
236.05	456.1	0.8119757469617104
236.05	456.1	0.8119757469617104
240.0	446.12699999999995	0.7942212323279696
240.0	446.12800000000004	0.7942230125861302
240.007	446.19599999999997	0.7943440701410377
245.0	434.51	0.7735399732785195
248.83900000000003	426.54	0.7593513157400744
248.83900000000003	426.55	0.7593691183216785
248.83900000000003	426.55	0.7593691183216785
250.0	422.035	0.7513312527274402
250.005	419.82800000000003	0.7474022229674215
250.005	422.00199999999995	0.7512725042081466
252.067	414.0	0.7370268784085685
253.96	413.12	0.7354602512274102
253.965	413.13	0.7354780538090142
253.965	413.13	0.7354780538090142
254.0	411.283	0.7321899169867422
257.0	402.664	0.7168458719021927
258.981	398.54	0.7095040872486736
258.981	398.55	0.7095218898302778
258.981	398.55	0.7095218898302778
260.0	393.465	0.7004692770846072
260.003	393.274	0.7001292477759695
262.22900000000004	388.17	0.6910428101252513
262.22900000000004	388.18	0.6910606127068554
262.22900000000004	388.18	0.6910606127068554
262.999	383.55300000000005	0.6828233581986515
265.45599999999996	377.2	0.6715133781055846
265.45599999999996	377.21	0.6715311806871886
265.45599999999996	377.21	0.6715311806871886
265.999	372.736	0.663566305677527
268.999	360.72900000000004	0.6421907459455182
270.001	355.934	0.6336544080663657
270.999	351.842	0.6263695916739795
270.999	351.842	0.6263695916739795
272.998	342.001	0.6088500711174126
274.998	330.845	0.5889895110799103
275.997	324.595	0.5778628975773654
276.997	317.733	0.5656467660806515
277.996	310.063	0.5519921859903284
278.996	301.255	0.5363116721134621
279.995	290.68	0.5174854420671563
279.995	290.682	0.5174890025834771
280.695	281.496	0.5011355511219767
281.195	273.33799999999997	0.486612205049375
281.594	265.018	0.4718004571547874
281.844	258.269	0.4597854948301995
281.994	253.071	0.45053171291240296
282.094	248.74400000000003	0.4428285358523212
282.094	249.135	0.44352461679304034
