# Data to 'Parameterization of two-center Lennard-Jones plus pointquadrupole force field models by multicriteria optimization'
# Three-criteria scenario
Substance sigma epsilon L Q density pressure surface_tension Tc 
O2 3.1374 41.6196 0.89596 0.056144 0.43541 0.80717 16.847 -0.74712 
O2 3.1371 41.6361 0.8967 0.057355 0.43446 0.80998 16.8313 -0.74554 
O2 3.1363 41.6772 0.89857 0.060376 0.42994 0.82411 16.7678 -0.73861 
O2 3.1356 41.7121 0.90017 0.062943 0.42594 0.83677 16.7115 -0.73245 
O2 3.1348 41.7503 0.90192 0.065747 0.42112 0.8521 16.6453 -0.72512 
O2 3.1345 41.7644 0.90256 0.066788 0.41997 0.85584 16.6282 -0.72331 
O2 3.1338 41.7986 0.90413 0.0693 0.41503 0.87168 16.5619 -0.71586 
O2 3.1338 41.7951 0.90401 0.069044 0.41376 0.87595 16.5475 -0.71405 
O2 3.1336 41.8095 0.90465 0.070101 0.41252 0.87988 16.5295 -0.71213 
O2 3.1314 41.9204 0.90968 0.078248 0.40082 0.91824 16.3658 -0.69417 
O2 3.1306 41.9598 0.9115 0.081143 0.39476 0.93839 16.2851 -0.68503 
O2 3.1288 42.0525 0.9157 0.08796 0.38478 0.97205 16.1472 -0.66977 
O2 3.1279 42.0962 0.91768 0.091166 0.37953 0.98996 16.0758 -0.66177 
O2 3.1275 42.1155 0.91856 0.092584 0.37683 0.99925 16.0395 -0.65766 
O2 3.1271 42.1361 0.9195 0.094103 0.37402 1.009 16.0019 -0.65339 
O2 3.1263 42.1854 0.92162 0.097721 0.37399 1.0106 15.9917 -0.65298 
O2 3.1265 42.1681 0.92095 0.09645 0.37048 1.0212 15.9535 -0.64798 
O2 3.1255 42.219 0.92324 0.10019 0.36528 1.0394 15.8818 -0.64002 
O2 3.1251 42.2385 0.92413 0.10163 0.36251 1.0492 15.8449 -0.6358 
O2 3.1246 42.2654 0.92534 0.1036 0.35944 1.06 15.8031 -0.6311 
O2 3.1236 42.3242 0.92786 0.10792 0.35962 1.0619 15.7947 -0.63103 
O2 3.1237 42.3156 0.92755 0.10729 0.35627 1.0716 15.7568 -0.62619 
O2 3.1234 42.3293 0.92816 0.1083 0.35528 1.0753 15.7425 -0.62465 
O2 3.1231 42.3384 0.92862 0.10896 0.35185 1.0871 15.6992 -0.61947 
O2 3.121 42.4487 0.93355 0.11708 0.34104 1.1265 15.5509 -0.60289 
O2 3.1211 42.4424 0.93329 0.11661 0.34077 1.1273 15.5484 -0.60249 
O2 3.1208 42.4583 0.93403 0.11778 0.33771 1.1384 15.5084 -0.5978 
O2 3.1202 42.4902 0.93546 0.12012 0.33408 1.1518 15.4593 -0.59221 
O2 3.1193 42.5315 0.93731 0.12316 0.32961 1.1684 15.399 -0.58535 
O2 3.1187 42.5637 0.93876 0.12552 0.32571 1.183 15.3462 -0.57931 
O2 3.1178 42.6141 0.94101 0.12923 0.32068 1.2019 15.2775 -0.57153 
O2 3.1169 42.6572 0.94293 0.13239 0.31614 1.2192 15.2163 -0.56453 
O2 3.1162 42.6933 0.94455 0.13505 0.312 1.235 15.1603 -0.5581 
O2 3.1158 42.712 0.94539 0.13642 0.30987 1.2432 15.1316 -0.55478 
O2 3.1157 42.7163 0.94561 0.13674 0.30807 1.2503 15.1081 -0.55195 
O2 3.1138 42.8227 0.9503 0.14456 0.29946 1.2839 14.9895 -0.5386 
O2 3.1132 42.8531 0.95166 0.14679 0.29588 1.298 14.9413 -0.53299 
O2 3.1125 42.885 0.9531 0.14914 0.29192 1.3138 14.8877 -0.52674 
O2 3.1115 42.9385 0.95546 0.15306 0.28686 1.3341 14.8187 -0.5188 
O2 3.1111 42.9569 0.95629 0.15442 0.28467 1.343 14.7893 -0.51535 
O2 3.1107 42.9807 0.95734 0.15617 0.28228 1.3528 14.7566 -0.51156 
O2 3.1098 43.0277 0.95943 0.15962 0.27754 1.3723 14.6916 -0.50401 
O2 3.1056 43.2257 0.96977 0.59482 0.24016 1.5198 14.6812 -0.44877 
O2 3.1048 43.2474 0.97199 0.68821 0.22425 1.5832 14.6768 -0.42548 
O2 3.1046 43.2503 0.97239 0.70103 0.21966 1.6025 14.6445 -0.41786 
O2 3.1088 43.0799 0.96173 0.16345 0.27248 1.3933 14.6223 -0.49595 
O2 3.1039 43.2652 0.97435 0.76515 0.20489 1.6665 14.6082 -0.39427 
O2 3.1038 43.2682 0.97479 0.77761 0.20151 1.6819 14.5945 -0.38851 
O2 3.1076 43.1426 0.96452 0.22627 0.26663 1.4178 14.5721 -0.48668 
O2 3.108 43.1255 0.96374 0.1668 0.26864 1.4095 14.5692 -0.48982 
O2 3.1079 43.1293 0.96392 0.16708 0.26766 1.4136 14.5561 -0.48823 
O2 3.1035 43.2718 0.97537 0.7926 0.19598 1.7083 14.5539 -0.37833 
O2 3.1039 43.2613 0.97395 0.74894 0.20431 1.671 14.5505 -0.39182 
O2 3.1031 43.2794 0.97654 0.82442 0.18838 1.7462 14.5324 -0.36459 
O2 3.1077 43.1349 0.96424 0.20411 0.2644 1.4277 14.5304 -0.48287 
O2 3.1031 43.2805 0.97672 0.82869 0.1869 1.7539 14.5214 -0.36163 
O2 3.1074 43.1448 0.96476 0.24692 0.26048 1.4452 14.5033 -0.47647 
O2 3.103 43.2807 0.97681 0.82979 0.18536 1.7623 14.4981 -0.35818 
O2 3.1028 43.2833 0.97724 0.84045 0.1826 1.7774 14.4853 -0.35262 
O2 3.1075 43.135 0.96432 0.20472 0.26096 1.4438 14.4848 -0.4771 
O2 3.1028 43.284 0.97738 0.84343 0.18119 1.7854 14.4699 -0.3495 
O2 3.1076 43.131 0.96416 0.18758 0.26049 1.4464 14.4698 -0.47625 
O2 3.1028 43.2811 0.97697 0.83146 0.18214 1.7812 14.4458 -0.35072 
O2 3.1026 43.2848 0.97759 0.84693 0.17867 1.8006 14.4345 -0.34355 
O2 3.1025 43.2849 0.97768 0.84729 0.1765 1.815 14.3938 -0.33805 
O2 3.1023 43.2899 0.97851 0.8678 0.17271 1.838 14.3889 -0.3296 
O2 3.1018 43.3007 0.98048 0.9129 0.16536 1.8928 14.383 -0.31051 
O2 3.102 43.2953 0.97948 0.89042 0.16862 1.8661 14.3806 -0.3195 
O2 3.1073 43.1324 0.96441 0.20438 0.25299 1.4858 14.3768 -0.46353 
O2 3.1018 43.3 0.98039 0.91022 0.16511 1.8944 14.3668 -0.30948 
O2 3.1024 43.2849 0.97777 0.84731 0.17426 1.8312 14.3489 -0.33213 
O2 3.1016 43.301 0.98062 0.91415 0.16369 1.9066 14.3432 -0.30466 
O2 3.1064 43.1684 0.96638 0.36382 0.24009 1.5518 14.3238 -0.44228 
O2 3.1016 43.3014 0.98075 0.91597 0.16245 1.918 14.3152 -0.30013 
O2 3.1014 43.3019 0.9809 0.91783 0.16118 1.9306 14.2846 -0.29522 
O2 3.1014 43.3024 0.98106 0.92002 0.16005 1.9428 14.2567 -0.29055 
O2 3.1012 43.3009 0.98107 0.91862 0.15834 1.964 14.1941 -0.28272 
O2 3.1068 43.1337 0.96484 0.22056 0.23831 1.5784 14.1827 -0.43797 
O2 3.1012 43.2989 0.98103 0.9168 0.15699 1.9842 14.1387 -0.27599 
O2 3.101 43.297 0.98101 0.91497 0.15558 2.0092 14.0752 -0.26819 
O2 3.101 43.2936 0.98085 0.91184 0.15476 2.0273 14.0294 -0.26328 
O2 3.1009 43.2913 0.98081 0.9097 0.15358 2.0569 13.9636 -0.25524 
O2 3.1009 43.2873 0.98061 0.90593 0.15285 2.0799 13.913 -0.2499 
O2 3.1056 43.1438 0.96619 0.34138 0.20742 1.8244 13.83 -0.38166 
O2 3.1009 43.2759 0.97997 0.89521 0.15166 2.128 13.8133 -0.24072 
O2 3.1016 43.1827 0.97461 0.80802 0.147 2.5036 13.2587 -0.19751 
N2 3.3669 33.0473 0.93744 1.4499 0.42448 0.61197 20.0085 -0.72279 
N2 3.3678 33.0043 0.93577 1.4577 0.41844 0.6232 20.0014 -0.7171 
N2 3.3647 33.1498 0.94211 1.4365 0.42987 0.60247 19.9466 -0.72498 
N2 3.3636 33.2023 0.94451 1.4296 0.43242 0.59817 19.9131 -0.72587 
N2 3.3543 33.6663 0.96343 1.3448 0.48607 0.52742 19.8793 -0.77218 
N2 3.3635 33.1974 0.94465 1.4332 0.42714 0.60747 19.8727 -0.7195 
N2 3.3537 33.7003 0.96487 1.3386 0.48932 0.52454 19.8708 -0.77474 
N2 3.3575 33.5015 0.95691 1.378 0.46425 0.55122 19.8693 -0.75235 
N2 3.3618 33.2858 0.94829 1.4183 0.43682 0.59101 19.8628 -0.7277 
N2 3.3575 33.4993 0.95694 1.3795 0.46224 0.55386 19.8552 -0.75002 
N2 3.3547 33.6415 0.96266 1.3519 0.47992 0.5335 19.8542 -0.76569 
N2 3.3624 33.2516 0.94714 1.4263 0.42955 0.60339 19.8368 -0.72013 
N2 3.3575 33.4938 0.957 1.3831 0.45762 0.56014 19.8221 -0.74456 
N2 3.3516 33.794 0.96914 1.3245 0.49364 0.52118 19.8103 -0.77626 
N2 3.3504 33.8566 0.97184 1.3133 0.49903 0.51711 19.7887 -0.78016 
N2 3.3645 33.1336 0.94309 1.4523 0.40564 0.64859 19.7549 -0.69538 
N2 3.3576 33.4822 0.95715 1.3908 0.44798 0.57425 19.7526 -0.73308 
N2 3.3495 33.879 0.9741 1.3228 0.48279 0.53207 19.6335 -0.75945 
N2 3.3497 33.8616 0.97362 1.3285 0.47758 0.53766 19.6093 -0.75385 
N2 3.3502 33.8308 0.97278 1.3388 0.46834 0.54859 19.5643 -0.74372 
N2 3.346 34.0408 0.98158 1.2991 0.48895 0.52716 19.5192 -0.76054 
N2 3.3601 33.317 0.95269 1.4387 0.39785 0.66577 19.4983 -0.67777 
N2 3.3416 34.2603 0.9908 1.2547 0.51019 0.51124 19.4671 -0.77781 
N2 3.3407 34.3033 0.99261 1.2457 0.51423 0.50892 19.4559 -0.78109 
N2 3.3379 34.4514 0.99874 1.2119 0.52982 0.50195 19.4266 -0.79424 
N2 3.3417 34.2469 0.99064 1.2623 0.50327 0.51618 19.4262 -0.76998 
N2 3.3388 34.3965 0.99672 1.2278 0.52063 0.50578 19.4111 -0.78523 
N2 3.3591 33.3465 0.95482 1.4412 0.38871 0.68584 19.3904 -0.6651 
N2 3.3421 34.2212 0.99007 1.2736 0.49361 0.52439 19.3754 -0.75925 
N2 3.3577 33.4073 0.95806 1.4373 0.3853 0.69401 19.2998 -0.65831 
N2 3.3557 33.4897 0.96228 1.4306 0.38279 0.70059 19.1956 -0.65182 
N2 3.3294 34.8631 1.0173 1.1285 0.55252 0.49673 19.167 -0.8054 
N2 3.3293 34.8632 1.0174 1.1302 0.55086 0.49689 19.1604 -0.80388 
N2 3.3311 34.7652 1.0136 1.161 0.53628 0.50028 19.1602 -0.7906 
N2 3.3293 34.8634 1.0175 1.1319 0.54916 0.4971 19.153 -0.80228 
N2 3.3531 33.6155 0.96774 1.4122 0.39256 0.6805 19.1526 -0.65894 
N2 3.3292 34.8636 1.0176 1.1337 0.5475 0.49737 19.1432 -0.8005 
N2 3.3292 34.8638 1.0177 1.1356 0.54578 0.4977 19.1327 -0.79862 
N2 3.3315 34.7383 1.0129 1.1741 0.52759 0.50393 19.1229 -0.78119 
N2 3.3291 34.8641 1.0179 1.1374 0.5441 0.49808 19.1211 -0.79668 
N2 3.3291 34.8644 1.018 1.1393 0.54234 0.49855 19.109 -0.79466 
N2 3.3297 34.8631 1.0175 1.1286 0.55603 0.49658 19.0992 -0.80113 
N2 3.329 34.8646 1.0181 1.1413 0.54055 0.49908 19.0963 -0.79256 
N2 3.329 34.8649 1.0183 1.143 0.53894 0.49961 19.0854 -0.79074 
N2 3.3539 33.5624 0.9663 1.4272 0.37681 0.7153 19.0731 -0.64143 
N2 3.3289 34.8652 1.0184 1.1453 0.53688 0.50037 19.0697 -0.78824 
N2 3.3289 34.8655 1.0186 1.1473 0.53498 0.50114 19.0558 -0.78598 
N2 3.3288 34.8658 1.0187 1.1493 0.53312 0.50197 19.0422 -0.78378 
N2 3.3288 34.8661 1.0189 1.1512 0.53132 0.50284 19.0299 -0.78173 
N2 3.33 34.8631 1.0177 1.1293 0.56144 0.49649 19.0238 -0.79604 
N2 3.3287 34.8664 1.0192 1.1554 0.52751 0.50487 19.0004 -0.77706 
N2 3.3286 34.8666 1.0193 1.1572 0.52575 0.50591 18.9883 -0.77503 
N2 3.3533 33.5831 0.96789 1.4299 0.36906 0.7339 18.9871 -0.63088 
N2 3.3286 34.8667 1.0194 1.1589 0.52406 0.50696 18.9762 -0.77306 
N2 3.3285 34.8669 1.0196 1.1613 0.52189 0.50839 18.9587 -0.77034 
N2 3.3527 33.6032 0.96897 1.4287 0.3675 0.73795 18.9539 -0.62817 
N2 3.3285 34.8671 1.0197 1.1632 0.52004 0.50968 18.9454 -0.76818 
N2 3.3506 33.713 0.97352 1.4111 0.37888 0.71297 18.9425 -0.6381 
N2 3.3284 34.8673 1.0198 1.1653 0.51809 0.5111 18.9306 -0.76582 
N2 3.3284 34.8675 1.02 1.1676 0.51594 0.51276 18.9146 -0.76324 
N2 3.3283 34.8681 1.0203 1.171 0.51251 0.51558 18.8889 -0.75916 
N2 3.3305 34.8637 1.0183 1.1331 0.5749 0.49639 18.867 -0.78381 
N2 3.3282 34.8687 1.0206 1.1744 0.50907 0.51862 18.8635 -0.7551 
N2 3.3518 33.6371 0.97118 1.43 0.36043 0.75568 18.8622 -0.61799 
N2 3.3281 34.8695 1.0209 1.1786 0.50498 0.52252 18.8315 -0.75009 
