T (K)	gamma (N/m)	ugamma (N/m)
116.012	0.02576	8.00E-05
117.913	0.02545	8.00E-05
119.713	0.02498	8.00E-05
122.413	0.02453	8.00E-05
124.013	0.02423	8.00E-05
126.414	0.02379	8.00E-05
128.014	0.02344	8.00E-05
130.514	0.02299	8.00E-05
132.814	0.02253	8.00E-05
134.914	0.02219	8.00E-05
137.014	0.02176	7.00E-05
160.774	0.0181	0.0003
164.277	0.01754	0.00029
168.281	0.01667	0.00028
169.081	0.01657	0.00028
176.037	0.01522	0.00027
180.439	0.01444	0.00026
184.892	0.01366	0.00025
