T (K)	P (kPa)	uP (kPa)
180.012	182.8	2.1
182.332	205.216	
184.009	221.958	0.0767
185	233.438	0.371
188.612	276.608	0.0931
190	295.435	0.467
194.695	364.77	5.8
195	369.038	0.581
196.649	395.755	0.129
198.161	422.7	0.24
200	455.528	0.716
200.011	454.341	0.405
200.011	454.3	
200.011	455.5	5.39
203.041	515.4	1.3
203.161	518.34	0.28
203.865	532.868	1.28
204.283	540.863	0.172
205	556.177	0.872
210	672.347	1.05
210	672.347	1.05
212.236	730.148	1.38
212.696	739.672	6.55
213.196	759.938	10.4
213.658	767.821	0.241
215	805.377	1.26
218.159	900.06	0.35
219.659	945.73	
220	956.649	1.49
221.04	990.351	1.51
223.37	1068.79	0.331
224.039	1094.2	1.4
225	1127.58	1.76
226.148	1173.86	10.8
227.058	1207.83	
229.898	1317.03	11.8
230	1319.61	2.06
231.558	1378.02	9.12
231.658	1388.22	
232.113	1409.13	1.72
233.138	1450.14	0.445
233.158	1454.38	0.48
233.182	1448.95	15.2
233.73	1476	5
235	1534.24	2.39
236.657	1610.64	
238.007	1675.4	1.5
238.157	1682.2	2.1
238.177	1681	1
239.507	1748	1
240	1773.03	2.76
240	1773.03	2.76
240.007	1770	1
242.057	1883.85	
242.584	1910.08	1.97
243.08	1932.3	6.4
243.096	1931.41	0.59
243.156	1937.02	2.24
244.756	2024	1
245	2037.55	3.17
245.486	2062	1
247.056	2159.96	
248.155	2218.69	2.42
248.155	2220.72	0.64
249.355	2291	1
249.693	2308.69	0.703
250	2329.51	3.62
250.135	2339.87	13.7
250.165	2340.1	1.9
250.505	2362.42	13.7
251.655	2432.53	
252.954	2522.99	13.2
253.096	2523.5	2.3
253.154	2528.86	2.61
253.22	2534.8	8.3
253.284	2531	2
253.466	2533.1	30.4
254	2584.14	4.02
255.283	2667.72	0.811
256.22	2732	16
257	2788.01	4.33
258.148	2857.36	287
258.153	2869.6	2.82
258.59	2903	16
260	3003.48	4.67
260.003	3001.25	1.01
260.003	3001	1
260.66	3039.8	30.4
261.02	3083	17
261.907	3143.84	0.953
262.473	3192.07	15.7
262.677	3205.98	
262.999	3231.08	5.02
263.072	3231.25	4.05
263.122	3236	2
263.132	3247.47	326
263.152	3243.12	3.05
263.152	3236.32	10.1
263.152	3244.71	0.85
263.22	3247.5	10.6
263.48	3272	17
263.632	3277	2
264.852	3374	2
265.556	3437.25	2.73
265.672	3440	2
265.933	3447.08	50.7
265.94	3470	17
265.999	3471.33	5.39
266.101	3483.68	
266.101	3483.74	
266.101	3483.76	
266.101	3483.83	
266.132	3480	2
266.502	3506	2
266.935	3546.4	40.5
267.846	3623.07	1.1
268.105	3637.57	366
268.13	3648.5	22.4
268.151	3651.96	3.3
268.37	3671	17
268.999	3724.92	5.78
269.401	3753.99	17.7
269.671	3778	2
270.1	3825.82	
270.511	3853	2
270.85	3891	18
270.999	3901.73	6.06
270.999	3901.75	6.06
271.514	4053	407
272.501	4053	50.7
272.71	4050.15	19.6
272.998	4085.09	6.34
273.058	4098.6	413
273.09	4080.97	3.05
273.099	4099.03	
273.099	4099.02	
273.14	4096.06	4.36
273.149	4099.31	3.58
273.15	4092	2
273.15	4094	16
273.18	4102	13.2
273.22	4096.57	4.26
273.29	4113	18
273.3	4113.8	
273.598	4135.37	1.25
273.95	4167.83	19.6
274.67	4241.7	2.1
274.998	4275.29	6.64
275.68	4339	18
275.997	4373.07	6.79
276.098	4387.65	
276.997	4472.71	6.94
277.303	4494.64	1.36
277.976	4600.15	462
277.996	4574.3	7.1
278.147	4589.8	3.9
278.149	4589.97	0.99
278.16	4588	19
278.269	4592	2
278.36	4611.2	26.3
278.369	4603	2
278.996	4677.91	7.26
279.096	4693.23	
279.146	4693.67	3.95
279.613	4730.59	1.43
279.995	4783.66	7.43
279.995	4783.67	7.43
280.146	4799.73	4.02
280.199	4795	2
280.541	4827.94	1.46
280.695	4859.03	7.54
280.695	4859.04	7.54
280.695	4859.04	7.54
280.695	4859.04	7.54
280.98	4891	19
280.985	4880.01	3.45
281.095	4907.46	
281.095	4907.47	
281.145	4908.13	4.08
281.195	4913.61	7.63
281.195	4913.61	7.63
281.445	4940.46	
281.445	4940.55	
281.594	4957.71	7.7
281.594	4957.73	7.7
281.644	4963.31	4.13
281.674	5066.2	509
281.744	4973.65	
281.744	4973.66	
281.744	4973.66	
281.744	4973.69	
281.744	4973.69	
281.744	4973.73	
281.744	4973.77	
281.744	4973.77	
281.844	4985.53	7.74
281.844	4985.54	7.74
281.994	5002.3	7.77
281.994	5002.32	7.77
281.998	5002.2	2.5
282.044	5007.18	
282.044	5007.2	
282.044	5007.24	
282.078	5010.4	2.6
282.094	5018.41	
282.094	5013.55	7.78
282.094	5013.56	7.78
282.144	5019.15	4.18
282.188	5017	2
282.194	5024.81	4.19
282.194	5024.79	7.8
282.194	5024.82	7.8
282.244	5030.46	4.19
282.244	5029.67	
282.244	5030.45	7.81
282.244	5030.48	7.81
282.248	5029.8	2.5
282.294	5036.12	4.19
282.294	5036.08	7.82
282.294	5036.13	7.82
282.319	5038.91	7.82
282.344	5041.97	4.2
282.344	5064.22	49.6
282.344	5061.18	49.6
282.344	5074.47	68.9
282.344	5042	3
282.344	5033.6	80
282.344	5040.3	3.9
282.344	5040.3	22
282.344	5055	5
282.344	5055	5.05
282.344	5041.8	2.3
282.344	5060	300
282.344	5070	300
282.344	5060	140
282.344	5070	140
282.344	5020	100
