T (K)	P (kPa)	uP (kPa)
104	0.1223	0.0301
104	0.1223	0.0301
104.12	0.12399	
104.92	0.142522	
105	0.1457	0.0301
105	0.1457	0.0301
105.02	0.14532	
105.08	0.1467	
105.24	0.150921	
105.43	0.155854	
105.63	0.16132	
106.33	0.181718	
106.89	0.19945	
107	0.2047	0.0301
107	0.2047	0.0301
107.08	0.20585	
107.521	0.221448	
108.571	0.26265	
109.211	0.291043	
109.311	0.29598	
109.451	0.30264	
109.921	0.325707	
110	0.332	0.03
110	0.332	0.03
110.091	0.33464	
110.711	0.368503	
110.741	0.370103	
111.111	0.391434	
111.191	0.39597	
111.411	0.410233	
112.622	0.49156	
112.902	0.512758	
113.257	0.533289	0.0667
114.362	0.633548	
114.442	0.64128	
114.856	0.615949	0.0161
115	0.698	0.031
115	0.698	0.031
115.455	0.6666	0.0133
115.762	0.772603	
116.422	0.846064	
117.062	0.924324	
117.523	0.98259	
118.054	0.937256	0.0193
118.353	1.1999	0.12
119.203	1.2279	
119.433	1.2666	
119.93	1.33749	0.0507
119.933	1.35056	
119.953	1.35389	
120	1.369	0.031
120	1.369	0.031
120.013	1.37	0.2
120.023	1.36682	
121.713	1.69146	
122.313	1.82145	
123.133	2.0153	
123.46	2.104	0.107
124.363	2.33581	
124.643	2.41193	
124.813	2.46113	
125	2.528	0.032
125	2.528	0.032
125.254	2.59312	
125.294	2.68	0.21
125.374	2.62978	
125.804	2.76377	
127.264	3.2624	
128.546	3.784	0.112
129.914	4.36764	
129.994	4.4023	
130	4.426	0.033
131.554	5.19691	
131.691	5.23957	0.0371
132.151	5.49288	0.0376
133.134	6.1115	
133.151	6.0795	0.0388
134.084	6.72878	
134.124	6.75144	
134.152	6.71945	0.0401
134.884	7.28473	
135	7.394	0.035
135.152	7.42606	0.0415
135.504	7.74203	
135.921	8.089	0.125
136.153	8.19933	0.0431
136.194	8.27665	
136.644	8.64196	
137.064	8.99526	
137.154	9.02592	0.0447
137.234	9.14191	
138.155	9.91918	0.0465
138.314	10.1192	
139.155	10.8924	0.0485
140	11.853	0.038
140.006	11.9	
140.014	11.8	0.25
140.156	11.9457	0.0506
140.941	12.87	0.14
141.157	13.0789	0.0528
141.379	13.3344	0.101
141.794	13.8589	
142.157	14.3055	0.0553
143.098	15.5454	0.0578
143.158	15.6254	0.0579
144.159	17.0386	0.0607
144.394	17.3439	
144.934	18.19	0.31
144.934	18.24	0.31
145	18.313	0.045
145.16	18.5451	0.0638
145.394	18.8624	
145.549	19.152	0.161
146.161	20.1583	0.067
147.162	21.8782	0.0704
147.624	22.6248	
147.874	23.0914	
147.884	23.1088	
147.902	23.1981	0.0499
147.934	23.1914	
148.162	23.7047	0.0741
149.163	25.6512	0.078
149.381	26.0304	0.0179
149.634	26.5205	
150	27.38	0.055
150	27.381	0.055
150.014	27.6	2
150.014	27.32	0.4
150.014	27.41	0.4
150.164	27.7177	0.0821
151.017	29.564	0.195
151.165	29.9175	0.0865
151.914	31.5854	
152.146	32.1974	0.0911
152.166	32.2507	0.0912
153.167	34.7305	0.0961
154.168	37.3703	0.101
154.939	39.4901	0.0662
155	39.757	0.071
155.169	40.17	0.107
156.133	43.0398	0.023
156.17	43.1298	0.113
156.18	43.162	0.237
157.171	46.2629	0.119
157.224	46.3495	
158.172	49.5826	0.126
158.874	51.9304	
159.172	53.089	0.133
159.624	54.6155	
159.766	55.2637	0.0267
160	56.232	0.096
160.014	56.8	2
160.014	56.3	0.78
160.023	56.5	
160.173	56.8753	0.14
161.174	60.715	0.148
161.394	61.783	0.147
161.404	61.68	
161.574	62.1789	
161.645	62.578	0.299
162.175	64.8347	0.156
162.846	67.7544	0.162
163.176	69.1676	0.165
163.627	71.116	0.0315
163.994	72.6474	
165	77.69	0.129
165.142	78.186	0.348
166.648	85.8942	0.0359
167.782	91.859	0.392
168.341	95.2455	0.122
169.068	99.3775	0.0399
169.069	99.3583	0.0359
169.072	99.3775	0.0399
169.075	99.3775	0.0399
169.181	101.325	5.78
169.281	101.325	2.53
169.281	101.325	1.52
169.281	101.325	2.53
169.459	101.325	1.01
169.462	101.325	2.53
169.503	101.685	
169.523	101.788	
169.523	101.818	
169.739	103.388	0.0411
169.741	103.384	0.0411
169.745	103.384	0.0411
170	105.083	0.171
170.013	105.7	2
170.032	105.1	
170.202	105.951	0.133
170.381	107.11	0.437
172	117.927	0.192
172.48	121.01	0.0464
173.285	126.496	0.153
174.633	136.109	
175.852	145.508	
176	147.244	0.237
179.813	179.828	0.0641
180	181.84	0.291
180	181.845	0.291
