T (K)	gamma (N/m)	Avg ugamma (N/m)
66.21	0.01885	0.0003868139582178682
70.26	0.0177	0.00036321522867142
70.68	0.0174	0.00035705903835495524
72.05	0.01702	0.00034926119728743326
73.35	0.01686	0.0003459778957853187
75.09	0.01649	0.0003383852610616789
75.19	0.016280000000000003	0.0003340759278401536
77.15	0.01573	0.00032278957892663485
79.9	0.01481	0.0003039105952894763
