T (K)	gamma (N/m)	ugamma (N/m)
192.895	0.01892	0.00031
194.045	0.01876	0.00031
195.795	0.017993	4.72E-04
197.045	1.81E-02	0.0003
197.495	0.017714	4.70E-04
202.345	0.01716	0.00029
202.695	0.01637	0.000458
204.195	0.015992	0.000453
206.195	0.015605	0.000449
206.745	0.0163	0.00028
209.196	0.015005	0.000444
210.596	0.01545	0.00027
210.796	1.44E-02	4.42E-04
217.193	0.01431	0.00026

