T (K)	rhol (kg/m3)	urho (kg/m3)
192.895	615.4	1.3
194.045	613.6	1.2
194.795	610.3	0.4
195.795	608.2	10.3
197.045	609.3	1.2
197.495	603.6	10.2
202.345	600.9	1.2
206.845	593.5	1.2
210.696	587.5	1.2
217.193	577.9	1.5
217.992	576.3	1.5
249.419	518.5	1.5
258.16	510.51	0.4
279.226	447.4	1.5
279.326	447.8	1.5
285.183	429.5	1.5
287.774	442.8	1.5
287.873	439.8	1.5
290.22	412	1.5
293.458	398.7	1.5
296.567	385.9	1.5
297.266	381.4	1.5
302.154	355.9	1.5
302.244	355.6	1.5
304.613	337.9	1.5
305.273	331.5	1.5
306.063	328.2	1.5
308.608	231.243	4.11
