T (K)	P (kPa)	uP (kPa)
192.195	126.656	6.33
192.632	128.193	0.339
192.68	128.688	0.339
192.926	130.283	0.307
192.948	130.439	0.308
193.248	132.581	0.312
193.555	134.816	0.32
193.826	136.933	0.323
194.164	139.357	0.327
194.523	142.068	0.335
194.731	143.787	0.337
195.373	148.648	0.347
195.635	150.905	0.355
196.541	158.302	0.348
196.581	158.528	0.348
197.441	165.944	0.384
197.792	168.843	0.392
198.329	173.73	0.403
198.989	179.571	0.413
199.272	182.269	0.421
200.151	190.554	0.419
200.155	190.607	0.413
200.191	190.834	0.419
200.995	199.05	0.86
201.049	199.33	0.459
202.195	210.993	0.484
203.195	224.941	7.32
203.673	226.88	0.516
205.148	243.515	0.552
206.346	257.904	0.575
206.494	259.557	0.579
208.275	282.354	0.636
210.316	309.753	0.693
212.355	339.311	0.752
223.188	537.023	10.4
233.182	780.203	12.9
273.15	2639.52	31.5
278.947	3070.15	35.8
284.643	3526.11	40.3
288.141	3840.22	43.5
293.338	4336.71	48.4
303.2	5476	27
308.608	6182.85	56.7
308.608	6138.27	120
