T (K)	gamma (N/m)	Avg ugamma (N/m)
192.895	0.01892	0.0004288536903092925
194.045	0.01876	0.00042522702062380163
195.795	0.017993000000000002	0.00040784167281898
197.045	0.0181	0.000410267008171152
197.495	0.017713999999999997	0.00040151766755490523
202.345	0.017159999999999998	0.0003889603237688932
202.695	0.01637	0.0003710536421967822
204.195	0.015992	0.00036248563506481005
206.195	0.015605	0.0003537136277630291
206.745	0.0163	0.0003694669742093799
209.196	0.015005000000000001	0.0003401136164424384
210.59599999999998	0.01545	0.00035020029150520984
210.796	0.0144	0.00032640027169417613
217.19299999999998	0.01431	0.00032436026999608754
