T (K)	rhol (kg/m3)	Avg urho (kg/m3)
192.895	615.4	2.8005091219840117
194.045	613.6	2.7923178375843185
194.795	610.3	2.777300482851547
195.795	608.2	2.767743984385239
197.045	609.3	2.772749769296162
197.495	603.6	2.746810702030467
202.345	600.9	2.734523775430927
206.845	593.5	2.700848495121077
210.696	587.5	2.6735442137887664
217.19299999999998	577.9	2.629857363657069
217.99200000000002	576.3	2.6225762219684525
249.419	518.5	2.3595449784671922
258.16	510.51	2.323184777159665
279.226	447.4	2.035989244679309
279.32599999999996	447.8	2.0378095301014634
285.183	429.5	1.9545314720379152
287.774	442.8	2.0150559623245377
287.873	439.8	2.001403821658382
290.22	412.0	1.8748939848186752
293.45799999999997	398.7	1.814369494532053
296.567	385.9	1.7561203610231233
297.26599999999996	381.4	1.73564215002389
302.154	355.9	1.6195989543615692
302.244	355.6	1.6182337402949538
304.613	337.9	1.5376861103646366
305.27299999999997	331.5	1.508561543610172
306.063	328.2	1.493544188877401
308.608	231.243	1.0523206546879245
