T (K)	gamma (N/m)	Avg ugamma (N/m)
95.458	0.03218	0.003600570138301466
99.62899999999999	0.03132	0.003504346076184025
104.7	0.030369999999999998	0.003398052054077549
109.37100000000001	0.02945	0.003295114685300751
117.81299999999999	0.02708	0.0030299390722561747
119.84299999999999	0.026680000000000002	0.0029851836945271326
120.913	0.02648	0.002962806005662611
122.383	0.0264	0.0029538549301168023
124.713	0.026000000000000002	0.00290909955238776
124.81299999999999	0.025960000000000004	0.0029046240146148564
125.574	0.02574	0.002880008556863882
125.914	0.02567	0.0028721763657613
127.434	0.025509999999999998	0.0028542742146696826
128.214	0.02538	0.0028397287169077442
128.714	0.02534	0.00283525317913484
129.201	0.025	0.002797211108065154
130.07399999999998	0.02496	0.0027927355702922494
133.201	0.02454	0.002745742423676755
133.534	0.02437	0.002726721388141912
135.174	0.0242	0.002707700352607069
136.684	0.02392	0.002676371588196739
137.10399999999998	0.023719999999999998	0.002653993899332218
144.774	0.023	0.0025734342194199413
149.113	0.02175	0.0024335736640166837
149.744	0.022119999999999997	0.002474972388416048
150.615	0.02168	0.0024257414729141015
154.954	0.021240000000000002	0.0023765105574121547
155.91899999999998	0.02071	0.0023172096819211734
157.52100000000002	0.02046	0.002289237570840522
159.814	0.0204	0.002282524264181166
161.32399999999998	0.01986	0.002222104504246958
164.054	0.01965	0.002198607930939211
164.42700000000002	0.019280000000000002	0.002157209206539847
164.97799999999998	0.01917	0.0021449014776643597
167.38	0.0189	0.0021146915976972564
168.08	0.01873	0.0020956705621624134
170.183	0.01876	0.0020990272154920915
170.332	0.01831	0.0020486774155469185
173.485	0.01785	0.00199720873115852
174.986	0.017740000000000002	0.0019849010022830334
177.888	0.0171	0.0019132923979165654
178.21200000000002	0.017419999999999998	0.0019490967000997989
180.639	0.016630000000000002	0.0018607048290849406
184.141	0.01625	0.0018181872202423502
184.43200000000002	0.01645	0.0018405649091068712
185.092	0.016	0.0017902151091616985
189.43200000000002	0.015619999999999998	0.0017476975003191079
190.09400000000002	0.01522	0.0017029421225900655
194.395	0.014480000000000002	0.0016201446737913372
194.43200000000002	0.014790000000000001	0.0016548300915313451
198.981	0.01407	0.0015742704116190685
199.195	0.01378	0.0015418227627655128
204.731	0.013130000000000001	0.0014690952739558189
210.16	0.01226	0.0013717523273951515
214.67	0.011559999999999999	0.001293430416369327
219.979	0.01072	0.001199444123138338
225.058	0.00995	0.0011132900210099313
228.988	0.00936	0.0010472758388595936
234.248	0.00857	0.0009588839678447347
239.507	0.00784	0.0008772054034892322
245.916	0.0069099999999999995	0.0007731491502692084
249.475	0.006370000000000001	0.0007127293903350012
257.214	0.005279	0.0005906590975790378
260.683	0.004816	0.0005388547478576713
265.622	0.004169	0.00046646292438094506
270.76099999999997	0.0034909999999999997	0.0003906025591302181
273.55	0.00324	0.0003625185596052439
274.49	0.003002	0.0003358891098564637
274.62	0.00295	0.00033007091075168817
277.14799999999997	0.00277	0.00030993099077361905
279.171	0.0024	0.0002685322663742547
283.244	0.00212	0.00023720350196392503
283.791	0.00185	0.0002069936219968214
283.918	0.001887	0.00021113349443675783
288.616	0.001364	0.0001526158380560348
289.14	0.0014	0.0001566438220516486
290.666	0.001155	0.0001292311531926101
291.253	0.00105	0.00011748286653873645
293.105	0.000917	0.00010260170344382984
293.153	0.00095	0.00010629402210647585
294.164	0.00091	0.0001018184843335716
295.04400000000004	0.00081	9.062963990131098e-05
299.137	0.00043	4.811203105872065e-05
300.084	0.0003015	3.3734365963265754e-05
300.135	0.00028	3.132876441032972e-05
301.014	0.00023319999999999998	2.6092385216031752e-05
302.433	0.00013319999999999999	1.4903540783771138e-05
303.983	5.5e-05	6.1538644377433385e-06
