T (K)	P (kPa)	Avg uP (kPa)
90.458	0.00132789	5.0399667950538226e-05
90.90799999999999	0.00149721	5.6826157928913797e-05
93.708	0.0027331	0.00010373399338470509
95.0	0.0035	0.00013284145360450324
96.2482	0.0049863	0.0001892535257451813
96.9089	0.00567952	0.0002155644835930995
100.0	0.0109	0.00041370624122545293
100.609	0.0131189	0.000497923927340605
100.709	0.013105600000000002	0.000497419129816908
105.61	0.033063999999999996	0.001254934234851227
110.0	0.07400000000000001	0.0028086478762094974
110.211	0.07186060000000001	0.002727447588826219
114.25200000000001	0.14665	0.005566056906028686
119.053	0.267	0.010133905174972105
120.0	0.353	0.013398009463539896
120.39299999999999	0.3653	0.013864852286207152
121.613	0.42263100000000003	0.016040833250949946
122.04	0.4826	0.018316938717009502
129.82399999999998	1.2479	0.04736367141515988
130.0	1.288	0.04888565492645719
130.384	1.2824200000000001	0.04867386769471059
130.651	1.3330000000000002	0.05059361647280081
132.014	1.55053	0.058849902587825825
133.164	1.9609999999999999	0.07442916871955167
135.739	2.4824599999999997	0.09422102711858145
135.784	2.4531	0.09310667709634483
138.72	3.447	0.13082985444992076
140.0	3.821	0.14502491263508768
140.564	4.0797	0.15484379379151195
143.164	4.9030000000000005	0.1860918991493941
143.275	5.2891699999999995	0.20074886604609438
144.154	5.7062	0.21657711501657612
144.274	5.79849	0.22007995437462172
144.275	5.85658	0.22228474295744616
147.336	7.69057	0.29189328509919554
149.83100000000002	9.652999999999999	0.3663767290412199
150.0	9.647	0.3661490008350408
153.164	12.749	0.4838844834296605
154.564	14.1855	0.5384064114590515
158.164	18.7193	0.7104854349882221
158.407	19.1099	0.7253105412104847
160.0	21.414	0.8127619678533807
160.014	21.502	0.8161019815440081
160.014	21.73	0.8247556533788158
162.655	26.0709	0.9895132150793268
165.013	30.67	1.164070680585747
165.55700000000002	32.0187	1.2152601858647165
167.86599999999999	37.4193	1.420238344246568
169.206	40.8644	1.550996084764532
170.0	42.823	1.625334162201612
170.013	42.87	1.6271180331500152
170.635	44.887	1.7036726651272391
170.783	47.196000000000005	1.7913100698051816
171.734	48.0584	1.8240422039733308
172.05200000000002	48.4228	1.8378728970286113
172.05200000000002	48.263000000000005	1.83180773580404
172.053	48.9459	1.8577270011373301
172.38400000000001	48.596000000000004	1.8444466512469828
172.785	51.32899999999999	1.9481768491615845
173.63	53.57	2.0332333341694966
174.09799999999998	55.7085	2.114399462321848
174.986	56.262	2.1354073893418746
175.0	58.592	2.223841842741444
175.012	58.636	2.225511849586758
175.745	61.5347	2.3355311414620075
176.08700000000002	60.528	2.297322143935249
177.66099999999997	68.9415	2.61665402104996
178.188	67.994	2.5806919418241696
178.65900000000002	73.0553	2.7727920701465902
179.18900000000002	72.794	2.762874506767488
179.68	77.0	2.9225119792990712
179.78900000000002	77.9797	2.959696199898023
180.012	78.734	2.988325430884845
180.013	78.706	2.9872626992560094
180.18900000000002	76.66	2.9096073809489194
181.546	86.1161	3.2685108293573606
181.69	83.993	3.1879292036008686
182.33	88.971	3.3768677053275025
182.50400000000002	90.8176	3.446954856249238
182.59099999999998	88.5927	3.3625094419279065
183.28	94.31	3.5795078541259144
183.291	90.79299999999999	3.4460211706039034
183.81900000000002	97.6165	3.70500507308114
183.891	95.059	3.607935925197278
184.19099999999997	101.325	3.845760081850369
184.512	101.264	3.8434448450875474
184.542	101.325	3.845760081850369
184.542	101.325	3.845760081850369
184.562	101.325	3.845760081850369
184.581	101.73	3.8611317357674615
184.592	100.525	3.8153963210264825
