T (K)	rhol (kg/m3)	Avg urho (kg/m3)
90.69	651.952	3.2379131621546247
91.0	650.826	3.23232089428738
91.01799999999999	650.697	3.231680217062802
93.15799999999999	648.54	3.2209674978890472
95.0	646.448	3.210577600572638
98.15899999999999	643.14	3.1941484512788136
100.0	640.9680000000001	3.183361234753365
100.009	641.7180000000001	3.187086102338119
100.029	640.878	3.182914250643194
102.588	638.4	3.1706072881431644
103.16	637.74	3.1673294046685805
103.72	637.06	3.163952191391736
105.01	636.236	3.1598598035386187
105.382	634.656	3.152012749160069
106.175	634.25	3.1499963541741884
108.12100000000001	632.214	3.139884580304108
108.161	632.27	3.1401627037504363
108.161	632.3	3.1403116984538264
108.943	631.22	3.13494788913178
110.0	629.993	3.1288540057631216
110.01100000000001	630.706	3.1323951132136947
110.939	628.948	3.1236640235950297
111.50200000000001	628.39	3.120892722111972
113.162	626.84	3.113194662436813
114.23299999999999	625.32	3.1056455974650437
114.72	625.3	3.105546267662783
114.81	624.96	3.103857661024361
115.012	625.236	3.1052284122955505
115.06200000000001	624.5980000000001	3.102059791603453
116.495	622.9540000000001	3.093894881857671
117.015	622.48	3.0915407655441056
118.163	621.29	3.085630642309628
119.63600000000001	619.43	3.076392970699436
120.0	618.962	3.0740686533265498
120.01299999999999	619.508	3.0767803569282512
121.5	617.57	3.0671552990892454
122.052	617.0740000000001	3.0646919199931943
122.16	617.0	3.0643243997248315
122.309	616.38	3.0612451758547676
123.163	615.72	3.0579672923801837
125.01	613.44	3.0466436949225297
125.01299999999999	613.987	3.0493603650143437
127.60799999999999	611.055	3.0347986160030094
127.693	610.51	3.0320918788914213
128.164	610.14	3.030254277549609
130.0	607.846	3.0188611492303727
130.014	608.367	3.021448690579249
130.332	607.59	3.017589727761443
132.17	605.8	3.0086997104591617
132.2	605.51	3.0072594283263903
132.21	605.63	3.007855407139951
132.36	605.56	3.00750775283204
132.782	604.85	3.0039815448518064
133.164	605.1519999999999	3.0054814248659336
133.164	604.56	3.002541262719034
135.014	602.786	2.993730709258561
138.164	599.03	2.97507657239411
138.369	598.34	2.971649694216136
140.0	596.599	2.963003034929392
140.014	597.0880000000001	2.9654316485946524
140.662	595.78	2.9589354795268394
142.46	594.19	2.95103876024716
142.5	593.92	2.949697807916648
142.52	594.19	2.95103876024716
143.164	593.52	2.9477112118714457
143.732	592.31	2.941701758834708
146.468	589.12	2.9258586553742183
148.164	587.77	2.91915389372166
149.063	586.22	2.9114558340465004
150.0	585.189	2.9063353827399907
150.014	585.616	2.9084560740182446
151.11	584.34	2.902118832634049
151.18	584.14	2.9011255346114475
151.929	582.94	2.8951657464758402
153.164	581.97	2.890348251066224
154.678	579.78	2.87947163771874
157.504	576.68	2.864075518368421
158.164	576.09	2.8611452892017475
160.0	573.575	2.848654566567537
160.014	573.9069999999999	2.8503034412850545
160.114	573.4	2.8477854307977606
161.4	572.239	2.842019335776561
162.875	570.06	2.8311973538203197
163.164	570.24	2.8320913220406614
164.827	567.7	2.8194764371536256
165.013	567.3	2.8174898411084226
165.66299999999998	566.71	2.8145596119417493
167.23	565.1	2.806563562859809
168.16299999999998	564.26	2.802391711164884
168.65200000000002	563.23	2.7972762263484876
169.13099999999997	563.0	2.796133933622496
170.0	561.7040000000001	2.7896973624360406
170.013	561.909	2.7907154929092064
171.351	559.92	2.780837144074437
171.38299999999998	563.3	2.7976238806563978
171.93400000000003	559.9	2.780737814272177
172.584	562.5	2.793650688565993
173.16299999999998	558.25	2.772543105585717
174.127	556.58	2.7642490670969964
174.636	557.2	2.7673282909670602
175.0	555.6569999999999	2.7596649967226914
175.58599999999998	559.5	2.7787512182269745
175.612	555.3	2.757891959752348
176.437	555.1	2.756898661729747
176.882	553.24	2.7476609901195554
178.03799999999998	553.775	2.7503180623300136
178.138	552.7	2.7449790854585325
178.388	555.5	2.7588852577749496
179.239	551.6	2.7395159463342256
179.61599999999999	549.78	2.730476934328554
180.012	549.659	2.7298759890248805
180.012	548.0	2.721636581927403
180.58900000000003	552.8	2.7454757344698324
182.09	551.6	2.7395159463342256
182.428	546.22	2.712796229526252
184.71200000000002	542.2	2.692830939271967
